group,team_1,team_2,round
A,Argentina,Mexico,group
A,Japan,Morocco,group
A,Argentina,Japan,group
A,Mexico,Morocco,group
A,Argentina,Morocco,group
A,Mexico,Japan,group
B,France,USA,group
B,Uruguay,Croatia,group
B,France,Uruguay,group
B,USA,Croatia,group
B,France,Croatia,group
B,USA,Uruguay,group
C,Brazil,Belgium,group
C,Netherlands,Italy,group
C,Brazil,Netherlands,group
C,Belgium,Italy,group
C,Brazil,Italy,group
C,Belgium,Netherlands,group
D,England,Spain,group
D,Portugal,Germany,group
D,England,Portugal,group
D,Spain,Germany,group
D,England,Germany,group
D,Spain,Portugal,group
