player_id,player_name,national_team,club,league,position,overall_rating,pace,shooting,passing,dribbling,defending,physical,minutes_played,goals,assists
1,Lionel Messi,Argentina,Inter Miami,MLS,FW,90,78,89,91,92,38,65,2400,21,15
2,Julian Alvarez,Argentina,Manchester City,Premier League,FW,85,82,84,78,84,56,78,2800,19,9
3,Alexis Mac Allister,Argentina,Liverpool,Premier League,MF,86,73,78,86,84,71,75,3000,8,10
4,Enzo Fernandez,Argentina,Chelsea,Premier League,MF,84,73,76,84,82,72,78,2600,4,7
5,Cristian Romero,Argentina,Tottenham,Premier League,DF,85,72,45,67,70,86,84,2900,3,1
6,Lisandro Martinez,Argentina,Manchester United,Premier League,DF,84,69,42,75,73,85,80,2200,1,2
7,Emiliano Martinez,Argentina,Aston Villa,Premier League,GK,86,51,20,54,58,19,82,3420,0,0
8,Kylian Mbappe,France,Real Madrid,La Liga,FW,91,97,90,82,92,38,77,2900,29,11
9,Antoine Griezmann,France,Atletico Madrid,La Liga,FW,88,79,86,88,89,54,72,3100,18,13
10,Ousmane Dembele,France,PSG,Ligue 1,FW,86,93,79,82,89,40,61,2600,11,14
11,Aurelien Tchouameni,France,Real Madrid,La Liga,MF,86,73,71,83,80,83,84,2800,5,4
12,Adrien Rabiot,France,Marseille,Ligue 1,MF,84,74,74,80,81,77,82,2500,7,5
13,William Saliba,France,Arsenal,Premier League,DF,87,78,46,73,76,87,83,3200,2,1
14,Mike Maignan,France,AC Milan,Serie A,GK,87,51,18,58,64,21,83,3150,0,0
15,Vinicius Junior,Brazil,Real Madrid,La Liga,FW,90,95,86,81,91,32,72,2750,24,10
16,Rodrygo,Brazil,Real Madrid,La Liga,FW,86,88,84,79,88,39,69,2550,17,8
17,Raphinha,Brazil,Barcelona,La Liga,FW,85,86,82,81,87,45,69,2700,13,12
18,Bruno Guimaraes,Brazil,Newcastle,Premier League,MF,86,72,75,84,83,79,82,3050,6,8
19,Lucas Paqueta,Brazil,West Ham,Premier League,MF,84,76,78,82,84,67,75,2550,9,7
20,Marquinhos,Brazil,PSG,Ligue 1,DF,87,74,44,75,77,87,79,2900,2,2
21,Alisson,Brazil,Liverpool,Premier League,GK,89,49,20,65,63,18,86,3240,0,0
22,Harry Kane,England,Bayern Munich,Bundesliga,FW,89,69,91,83,83,49,83,2960,31,8
23,Bukayo Saka,England,Arsenal,Premier League,FW,87,86,83,82,88,55,70,2850,18,12
24,Phil Foden,England,Manchester City,Premier League,FW,88,84,85,84,90,48,65,2780,21,11
25,Jude Bellingham,England,Real Madrid,La Liga,MF,90,80,84,86,88,76,82,3000,16,9
26,Declan Rice,England,Arsenal,Premier League,MF,87,74,73,82,81,84,84,3150,7,6
27,John Stones,England,Manchester City,Premier League,DF,85,70,46,78,77,84,78,2400,2,2
28,Jordan Pickford,England,Everton,Premier League,GK,84,48,19,58,57,20,79,3420,0,0
29,Alvaro Morata,Spain,AC Milan,Serie A,FW,84,78,83,74,78,34,72,2500,17,4
30,Lamine Yamal,Spain,Barcelona,La Liga,FW,85,89,78,80,90,38,58,2100,10,9
31,Nico Williams,Spain,Athletic Club,La Liga,FW,84,92,79,76,87,41,65,2350,11,8
32,Pedri,Spain,Barcelona,La Liga,MF,86,78,74,87,89,63,63,2200,5,9
33,Rodri,Spain,Manchester City,Premier League,MF,91,66,78,89,82,86,84,3200,8,7
34,Dani Olmo,Spain,RB Leipzig,Bundesliga,MF,84,77,80,83,85,56,65,2150,9,8
35,Dani Carvajal,Spain,Real Madrid,La Liga,DF,86,78,54,78,79,84,79,2850,3,5
36,Unai Simon,Spain,Athletic Club,La Liga,GK,84,47,17,55,57,18,79,3150,0,0
37,Cristiano Ronaldo,Portugal,Al Nassr,Saudi Pro League,FW,88,74,92,78,84,36,77,2700,28,7
38,Bernardo Silva,Portugal,Manchester City,Premier League,FW,88,79,79,88,90,58,67,2900,12,13
39,Rafael Leao,Portugal,AC Milan,Serie A,FW,86,92,83,77,88,34,74,2480,15,9
40,Bruno Fernandes,Portugal,Manchester United,Premier League,MF,88,73,82,89,84,67,74,3200,14,12
41,Joao Neves,Portugal,PSG,Ligue 1,MF,82,72,69,83,81,77,71,2400,4,6
42,Ruben Dias,Portugal,Manchester City,Premier League,DF,88,67,42,72,70,89,84,2950,2,1
43,Diogo Costa,Portugal,FC Porto,Primeira Liga,GK,84,49,18,57,59,17,80,3060,0,0
44,Florian Wirtz,Germany,Bayer Leverkusen,Bundesliga,FW,88,81,84,87,90,46,65,2750,18,16
45,Jamal Musiala,Germany,Bayern Munich,Bundesliga,FW,87,86,80,84,91,45,64,2550,15,10
46,Kai Havertz,Germany,Arsenal,Premier League,FW,85,77,83,78,81,56,79,2850,16,7
47,Ilkay Gundogan,Germany,Barcelona,La Liga,MF,85,67,78,86,84,70,71,2600,6,8
48,Joshua Kimmich,Germany,Bayern Munich,Bundesliga,MF,86,69,73,88,83,82,76,3000,5,10
49,Antonio Rudiger,Germany,Real Madrid,La Liga,DF,86,75,41,68,69,87,86,3100,2,1
50,Marc-Andre ter Stegen,Germany,Barcelona,La Liga,GK,88,47,18,63,66,18,80,2880,0,0
51,Memphis Depay,Netherlands,Corinthians,Brasileirao,FW,83,78,82,78,84,36,72,2100,12,5
52,Cody Gakpo,Netherlands,Liverpool,Premier League,FW,84,82,82,78,84,42,77,2550,17,8
53,Xavi Simons,Netherlands,RB Leipzig,Bundesliga,FW,84,84,78,82,87,48,63,2700,13,12
54,Tijjani Reijnders,Netherlands,AC Milan,Serie A,MF,84,77,76,84,83,68,72,2950,8,9
55,Frenkie de Jong,Netherlands,Barcelona,La Liga,MF,87,79,72,88,88,74,75,2300,4,6
56,Virgil van Dijk,Netherlands,Liverpool,Premier League,DF,88,69,44,72,71,89,84,3150,4,2
57,Bart Verbruggen,Netherlands,Brighton,Premier League,GK,82,46,16,54,58,17,78,2800,0,0
58,Romelu Lukaku,Belgium,Napoli,Serie A,FW,84,77,85,72,77,37,82,2450,20,4
59,Jeremy Doku,Belgium,Manchester City,Premier League,FW,84,92,76,78,89,36,61,2100,9,12
60,Lois Openda,Belgium,RB Leipzig,Bundesliga,FW,85,88,84,73,80,34,78,2600,22,5
61,Kevin De Bruyne,Belgium,Manchester City,Premier League,MF,90,67,86,93,87,64,78,2250,10,15
